Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
DUFOUR LAPOINTE Chloe - CAN - World Cup 4 - 2015 - Final 2,DUFOUR LAPOINTE Chloe - CAN,Women,29.0,CAN,16.8,15.8,16.1,16.6,15.0,7.0,7.0,1,1,1,1,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 2,78.03,2
DUFOUR LAPOINTE Maxime - CAN - World Cup 4 - 2015 - Final 1,DUFOUR LAPOINTE Maxime - CAN,Women,31.0,CAN,16.6,17.2,15.2,16.2,17.6,7.0,6.9,1,0,0,0,-5.0,-17.0,0.0,2015,2015-World Cup 4,Final 1,79.73,2
SCANZIO Deborah - SUI - World Cup 1 - 2015 - Final 1,SCANZIO Deborah - SUI,Women,34.0,SUI,15.2,15.0,16.1,15.0,15.4,7.8,7.5,0,0,0,0,-20.0,-21.0,1.1,2015,2015-World Cup 1,Final 1,74.15,9
SUDOVA Nikola - CZE - World Cup 1 - 2015 - Final 1,SUDOVA Nikola - CZE,Women,38.0,CZE,16.0,17.3,16.9,16.6,17.4,7.8,8.6,1,0,1,0,-20.0,-21.0,1.1,2015,2015-World Cup 1,Final 1,79.08,4
DZIEMIAN Nessa - USA - World Cup 3 - 2015 - Final 1,DZIEMIAN Nessa - USA,Women,26.0,USA,15.6,15.7,13.2,16.7,16.2,6.2,6.4,0,0,0,0,-2.0,-1.0,0.0,2015,2015-World Cup 3,Final 1,78.29,7
HOSHINO Junko - JPN - World Championships - 2015 - Final 1,HOSHINO Junko - JPN,Women,31.0,JPN,15.6,16.0,13.8,15.5,14.6,6.8,6.7,0,0,0,0,-2.0,4.0,1.2,2015,2015-World Championships,Final 1,75.12,11
RAKHIMOVA Regina - OAR - World Cup 3 - 2015 - Final 1,RAKHIMOVA Regina - OAR,Women,31.0,OAR,16.0,14.4,15.6,15.2,15.2,6.0,5.8,1,0,0,0,-2.0,-1.0,0.0,2015,2015-World Cup 3,Final 1,73.28,14
GRASEMANN Laura - GER - World Cup 1 - 2015 - Final 1,GRASEMANN Laura - GER,Women,28.0,GER,15.4,14.8,15.3,15.2,13.7,6.4,6.2,0,0,0,0,-20.0,-21.0,1.1,2015,2015-World Cup 1,Final 1,72.84,13
ROBICHAUD Audrey - CAN - World Cup 1 - 2015 - Final 1,ROBICHAUD Audrey - CAN,Women,32.0,CAN,16.2,16.0,16.0,16.0,16.2,8.2,8.2,0,0,0,0,-20.0,-21.0,1.1,2015,2015-World Cup 1,Final 1,76.41,7
DUFOUR LAPOINTE Justine - CAN - World Championships - 2015 - Final 2,DUFOUR LAPOINTE Justine - CAN,Women,26.0,CAN,17.9,18.1,18.6,17.8,18.3,8.8,8.6,1,1,1,1,-2.0,4.0,1.2,2015,2015-World Championships,Final 2,87.25,1
LAFFONT Perrine - FRA - World Cup 2 - 2015 - Final 1,LAFFONT Perrine - FRA,Women,22.0,FRA,15.7,17.4,16.8,16.5,16.3,5.9,6.4,1,1,1,1,-1.0,3.0,0.0,2015,2015-World Cup 2,Final 1,75.21,9
MCCARGO Keaton - USA - World Cup 3 - 2015 - Final 1,MCCARGO Keaton - USA,Women,25.0,USA,16.9,15.7,16.0,16.1,17.3,5.5,5.2,0,0,0,0,-2.0,-1.0,0.0,2015,2015-World Cup 3,Final 1,76.94,9
HAMEL Christel - CAN - World Cup 5 - 2015 - Final 1,HAMEL Christel - CAN,Women,28.0,CAN,12.4,14.2,14.5,14.5,14.0,8.0,6.9,0,0,0,0,0.0,1.0,0.5,2015,2015-World Cup 5,Final 1,70.63,13
